,Nodes
279,83385
280,78448
281,131535
282,159568
283,36100
284,268087
285,85273
286,106074
287,50791
288,11240
289,92379
290,268496
291,168918
292,245059
293,54141
294,273076
295,181633
296,3872
297,200000
298,112745
299,153753
300,44248
301,226600
302,212259
303,201062
304,208678
305,220959
306,29510
307,166465
308,201285
309,80329
310,209511
311,243884
312,135972
313,125771
314,281843
315,134867
316,169353
317,140228
318,144989
319,251965
320,168578
321,142061
322,70093
323,130000
324,43983
325,192542
326,151654
327,69933
328,101947
329,24750
330,133299
331,68970
332,115631
333,65481
334,264370
335,134008
336,42285
337,227409
338,208566
339,31675
340,69719
341,181263
342,124210
343,95968
344,131970
345,111427
346,262345
347,145256
348,69617
349,72900
350,227205
351,265301
352,165669
353,108329
354,21692
355,110121
356,241175
357,279227
358,111514
359,116424
360,139327
361,28241
362,241975
363,169514
364,161888
365,141197
366,59319
367,124880
368,14980
369,212782
370,79859
371,81215
372,185160
373,55687
374,78736
375,57526
376,59903
377,158495
378,213134
379,141969
380,58075
381,224539
382,98623
383,93064
384,223443
385,111727
386,226189
387,271728
388,271945
389,159034
390,77873
391,77282
392,177127
393,224094
394,701
395,7178
396,61388
397,14136
398,9506
399,139596
400,170341
401,270692
402,60510
403,264054
404,45191
405,187999
406,8777
407,182745
408,89311
409,229546
410,262057
411,195818
412,125712
413,59636
414,58761
415,46527
416,21994
417,70985
418,259660
419,167172
420,190485
421,74325
422,116327
423,5629
424,253030
425,158353
426,59304
427,171381
428,206520
429,96833
430,198634
431,171654
432,277662
433,64630
434,206281
435,59739
436,20022
437,253559
438,53131
439,126097
440,266616
441,10451
442,215428
443,141093
444,180619
445,148804
446,147561
447,5502
448,17861
449,64709
450,279437
451,192615
452,187884
453,124204
454,40541
455,33234
456,133824
457,32254
458,241550
459,143808
460,281779
461,158200
462,231301
463,10378
464,192144
465,187403
466,42688
467,180312
468,221070
469,153051
470,69796
471,2958
472,52880
473,124009
474,43791
475,171614
476,257321
477,200849
478,41407
479,23006
480,131745
481,47430
482,41557
483,84997
484,139362
485,61897
486,124622
487,102198
488,77530
489,172639
490,30051
491,53998
492,40414
493,40696
494,264915
495,280309
496,91999
497,140044
498,100828
499,53217
500,219120
501,110982
502,160623
503,181201
504,245003
505,40830
506,94007
507,70894
508,139958
509,126833
510,194026
511,47379
512,75358
513,269773
514,107842
515,158515
516,66521
517,109666
518,72171
519,10151
520,88401
521,89983
522,145049
523,44535
524,12991
525,81153
526,40923
527,44412
528,24086
529,93078
530,193998
531,88134
532,175099
533,202144
534,108052
535,166188
536,192549
537,165921
538,73922
539,27883
540,150746
541,115668
542,6839
543,187131
544,111248
545,239702
546,89413
547,138109
548,184295
549,274946
550,241433
551,6055
552,235365
553,190508
554,145242
555,263704
556,48165
557,37207
558,28570
559,164731
560,224916
561,185263
562,147913
563,220183
564,222601
565,161834
566,201899
567,162498
568,217050
569,24665
570,26746
571,127353
572,9666
573,112787
574,196045
575,68217
576,241213
577,75536
578,275567
579,32437
580,193377
581,163297
582,253015
583,16483
584,137143
585,165729
586,50798
587,136456
588,32165
589,211260
590,246273
591,132140
592,103175
593,193857
594,225799
595,134981
596,250628
597,106349
598,55488
599,79086
600,208328
601,182389
602,254920
603,118638
604,160033
605,213642
606,227645
607,213192
608,165371
609,44389
610,142596
611,3167
612,58514
613,146540
614,262093
615,107043
616,5315
617,48217
618,88745
619,145820
620,136999
621,3329
622,260880
623,8529
624,91097
625,232142
626,36668
627,19453
628,35907
629,175074
630,89996
631,34731
632,104114
633,243698
634,274554
635,44821
636,5476
637,19397
638,206747
639,260579
640,96270
641,37100
642,104430
643,101809
644,85725
645,273996
646,281750
647,259837
648,119255
649,228365
650,70831
651,106743
652,141428
653,149610
654,243510
655,129757
656,13592
657,262519
658,221130
659,175347
660,15355
661,71290
662,231928
663,153620
664,176704
665,40387
666,95248
667,192478
668,280596
669,175631
670,256751
671,24229
672,271682
673,262374
674,174440
675,224188
676,151221
677,177943
678,164041
679,215482
680,190669
681,125845
682,224365
683,93242
684,60194
685,264358
686,240335
687,35972
688,111730
689,204583
690,266968
691,128250
692,175794
693,272840
694,209157
695,60068
696,153505
697,130182
698,45302
699,97913
700,144512
701,187221
702,190931
703,77054
704,136354
705,151087
706,237460
707,51652
708,139301
709,180681
710,33996
711,60548
712,90793
713,255495
714,247257
715,225161
716,170699
717,271402
718,73853
719,65429
720,262190
721,218528
722,237454
723,159497
724,160248
725,112828
726,100479
727,203110
728,199657
729,112956
730,58366
731,199165
732,163357
733,234820
734,14647
735,177991
736,89844
737,274012
738,235574
739,124187
740,14425
741,60634
742,29741
743,79718
744,44183
745,204039
746,231926
747,94164
748,205995
749,153860
750,270089
751,34406
752,150773
753,171873
754,267492
755,105914
756,68245
757,114236
758,146567
759,132613
760,105025
761,152854
762,4172
763,113826
764,81355
765,175433
766,70942
767,90487
768,241185
769,27379
770,185225
771,171456
772,206937
773,222479
774,212689
775,178494
776,276379
777,41662
778,248357
779,275124
780,107374
781,280689
782,88936
783,214121
784,46473
785,21382
786,152732
787,255498
788,21174
789,106654
790,155184
791,49469
792,277993
793,29135
794,60552
795,233780
796,183296
797,258000
798,183145
799,127815
800,217587
801,150077
802,266580
803,22167
804,270565
805,263859
806,123251
807,3559
808,176682
809,257970
810,96442
811,212147
812,24310
813,210873
814,193809
815,151468
816,6440
817,68782
818,197671
819,133012
820,118258
821,268892
822,52503
823,8265
824,54531
825,88048
826,118856
827,33468
828,151506
829,278255
830,38073
831,37907
832,36216
833,267600
834,225641
835,112441
836,30933
837,204728
838,252287
839,131322
840,214408
841,126399
842,262395
843,189523
844,57870
845,206391
846,185
847,36631
848,166204
849,139896
850,255052
851,258698
852,92793
853,78588
854,217891
855,36234
856,30638
857,8303
858,116942
859,46953
860,151334
861,102688
862,226620
863,88239
864,201821
865,161166
866,220804
867,104769
868,92148
869,140597
870,98035
871,220629
872,220494
873,191858
874,127863
875,273884
876,141
877,164196
878,59398
879,153475
880,228149
881,241148
882,253446
883,252379
884,123030
885,35292
886,59027
887,29903
888,157737
889,47943
890,84998
891,161875
892,171044
893,272948
894,64643
895,262968
896,13230
897,267110
898,181709
899,211566
900,17318
901,205362
902,174023
903,77610
904,96121
905,216137
906,185445
907,138918
908,125406
909,2401
910,165256
911,111991
912,117864
913,191259
914,5122
915,155242
916,153014
917,261896
918,162301
919,47346
920,208293
921,4421
922,156442
923,276540
924,15639
925,107717
926,254109
927,262687
928,221389
929,251446
930,178106
931,123567
932,71733
933,105444
934,236015
935,115209
936,38179
937,173529
938,117079
939,275949
940,132003
941,192667
942,65876
943,42476
944,246361
945,99037
946,262842
947,248112
948,192012
949,180043
950,140909
951,190919
952,122047
953,138884
954,253890
955,239583
956,230398
957,148417
958,214141
959,150630
960,176036
961,73714
962,184445
963,31635
964,209123
965,157455
966,170146
967,118178
968,93543
969,20462
970,256702
971,183476
972,275322
973,119852
974,138244
975,253082
976,68820
977,193777
978,9350
979,97994
980,4260
981,114384
982,133283
983,51738
984,81686
985,151754
986,108562
987,47134
988,67223
989,253509
990,253083
991,261049
992,98675
993,31591
994,253064
995,71424
996,4222
997,53852
998,244426
999,156579
1000,235359
1001,137124
1002,173119
1003,199333
1004,253042
1005,191080
1006,48229
1007,160479
1008,193637
1009,12367
1010,14410
1011,77591
1012,126503
1013,65883
1014,198326
1015,233645
1016,275064
1017,44497
1018,203275
1019,223184
1020,137126
1021,206753
1022,14497
1023,73154
1024,107990
1025,22128
1026,245210
1027,89882
1028,234040
1029,10170
1030,158979
1031,65980
1032,101227
1033,141049
1034,69535
1035,158570
1036,60834
1037,60522
1038,259401
1039,200599
1040,43023
1041,28438
1042,11237
1043,83385
1044,94096
1045,171941
1046,5396
1047,266773
1048,81408
1049,168220
1050,211636
1051,254071
1052,64499
1053,40491
1054,186951
1055,130190
1056,10039
1057,204102
1058,94610
1059,262015
1060,41627
1061,258879
1062,216250
1063,118745
1064,143094
1065,230429
1066,94122
1067,68033
1068,136418
1069,176851
1070,230741
1071,179350
1072,173935
1073,175457
1074,231495
1075,237771
1076,272089
1077,176485
1078,127818
1079,270654
1080,208521
1081,202199
1082,70576
1083,146224
1084,196277
1085,164439
1086,235255
1087,141554
1088,189369
1089,6207
1090,205607
1091,132437
1092,107447
1093,25909
1094,123810
1095,5141
1096,101883
1097,140790
1098,196955
1099,268656
1100,235192
1101,75446
1102,43164
1103,184953
1104,256620
1105,208590
1106,96044
1107,209940
1108,147577
1109,28730
1110,171340
1111,192578
1112,225943
1113,138128
1114,84329
1115,264730
1116,24830
1117,218713
1118,253036
1119,76917
1120,171613
1121,182994
1122,72087
1123,52058
1124,219396
1125,93697
1126,15605
1127,75994
1128,151906
1129,278150
1130,260552
1131,9247
1132,20914
1133,217954
1134,99179
1135,21201
1136,259462
1137,206499
1138,213279
1139,124733
1140,9101
1141,50073
1142,96006
1143,103079
1144,196396
1145,102322
1146,87271
1147,100190
1148,194879
1149,93506
1150,23230
1151,2151
1152,58631
1153,180724
1154,104636
1155,140869
1156,165657
1157,173411
1158,88616
1159,59833
1160,17160
1161,264260
1162,106712
1163,169822
1164,103832
1165,159700
1166,274465
1167,139658
1168,148770
1169,26360
1170,138646
1171,178207
1172,53420
1173,63201
1174,246912
1175,54578
1176,246875
1177,21723
1178,16108
1179,8513
1180,263462
1181,242243
1182,152512
1183,77293
1184,34434
1185,28725
1186,211034
1187,59257
1188,4812
1189,278147
1190,165797
1191,226971
1192,211149
1193,12667
1194,136735
1195,48438
1196,65175
1197,245102
1198,183825
1199,223535
1200,215641
1201,275447
1202,254431
1203,220972
1204,182580
1205,176750
1206,32814
1207,227972
1208,203277
1209,14489
1210,60653
1211,143134
1212,273018
1213,75485
1214,248878
1215,57651
1216,170222
1217,150237
1218,183075
1219,151632
1220,155122
1221,105330
1222,30941
1223,187716
1224,139073
1225,57459
1226,81457
1227,39412
1228,31148
1229,16440
1230,203533
1231,128347
1232,222984
1233,198318
1234,142680
1235,106239
1236,180121
1237,16221
1238,96827
1239,74804
1240,224492
1241,54578
1242,225497
1243,234758
1244,256654
1245,161929
1246,111102
1247,201964
1248,213240
1249,128993
1250,204790
1251,265680
1252,58745
1253,78896
1254,104803
1255,71375
1256,94730
1257,104819
1258,8548
1259,47240
1260,137464
1261,16137
1262,105724
1263,82719
1264,205532
1265,268090
1266,7909
1267,72845
1268,135797
1269,272860
1270,2972
1271,181056
1272,218291
1273,131898
1274,263178
1275,81638
1276,275446
1277,189495
1278,98921
1279,143519
1280,159422
1281,90202
1282,186191
1283,97032
1284,260635
1285,131705
1286,150920
1287,130334
1288,19376
1289,125734
1290,175627
1291,616
1292,144719
1293,237964
1294,169502
1295,236758
1296,153914
1297,127588
1298,131282
1299,70518
1300,186026
1301,130823
1302,44278
1303,250652
1304,22813
1305,254082
1306,33858
1307,76825
1308,152488
1309,199001
1310,119346
1311,93864
1312,236132
1313,148705
1314,116150
1315,51153
1316,63643
1317,264640
1318,162993
1319,170483
1320,122161
1321,230204
1322,181580
1323,20404
1324,115704
1325,214033
1326,120593
1327,179909
1328,142272
1329,139200
1330,146253
1331,34627
1332,253832
1333,273360
1334,271763
1335,200579
1336,177731
1337,162272
1338,89493
1339,164681
1340,60420
1341,252644
1342,204162
1343,49493
1344,92085
1345,28798
1346,226939
1347,155698
1348,272224
1349,182682
1350,3081
1351,180065
1352,51443
1353,218369
1354,98123
1355,220310
1356,35227
1357,100105
1358,118444
1359,206992
1360,43706
1361,264306
1362,212317
1363,251263
1364,266079
1365,160548
1366,227572
1367,165996
1368,182772
1369,50422
1370,171078
1371,24212
1372,248927
1373,250782
1374,202816
1375,137145
1376,23814
1377,183238
1378,67440
1379,21550
1380,258369
1381,58470
1382,278199
1383,173169
1384,226946
1385,3252
1386,224354
1387,207814
1388,225439
1389,180802
1390,95651
1391,252844
1392,262143
1393,245328
1394,265166
1395,171308
1396,163521
1397,279002
1398,97361
1399,259145
1400,62465
1401,220273
1402,250964
1403,38548
1404,104870
1405,74192
1406,210844
1407,235577
1408,262074
1409,184910
1410,52083
1411,99296
1412,264139
1413,16428
1414,170463
1415,109895
1416,89772
1417,78537
1418,99324
1419,65951
1420,244685
1421,129976
1422,95114
1423,150342
1424,117664
1425,75636
1426,111577
1427,193835
1428,265771
1429,243514
1430,274579
1431,24398
1432,4079
1433,99292
1434,33646
1435,27553
1436,267078
1437,232967
1438,148089
1439,110172
1440,244814
1441,18271
1442,23465
1443,123749
1444,262973
1445,138202
1446,158750
1447,103795
1448,141250
1449,189276
1450,120608
1451,72489
1452,235603
1453,26936
1454,209143
1455,42224
1456,235345
1457,135589
1458,223983
1459,214430
1460,147849
1461,3984
1462,128050
1463,53666
1464,106491
1465,205167
1466,240004
1467,229872
1468,154201
1469,175972
1470,98516
1471,36295
1472,158237
1473,29823
1474,247418
1475,152707
1476,278005
1477,3092
1478,212177
1479,163486
1480,246687
1481,99771
1482,173577
1483,169511
1484,44003
1485,203579
1486,18337
1487,101656
1488,98381
1489,35201
1490,99082
1491,107379
1492,109962
1493,280329
1494,88542
1495,212566
1496,167991
1497,171632
1498,233689
1499,249576
1500,9411
1501,73032
1502,139665
1503,134643
1504,184435
1505,84701
1506,61456
1507,215565
1508,34819
1509,41090
1510,236775
1511,118562
1512,160724
1513,45898
1514,130545
1515,219273
1516,164074
1517,4591
1518,154328
1519,234438
1520,224514
1521,22858
1522,54330
1523,241118
1524,252006
1525,100723
1526,281321
1527,209505
1528,29638
1529,203086
1530,268232
1531,165446
1532,106639
1533,110082
1534,16269
1535,178299
1536,88990
1537,171689
1538,273338
1539,129767
1540,113377
1541,142920
1542,6222
1543,204894
1544,115243
1545,231092
1546,239237
1547,253264
1548,159851
1549,173645
1550,66638
1551,156737
1552,224469
1553,107123
1554,27559
1555,189628
1556,27748
1557,131495
1558,153521
1559,178555
1560,148500
1561,107918
1562,155994
1563,52955
1564,274717
1565,127641
1566,115435
1567,9978
1568,197549
1569,102344
1570,55029
1571,51918
1572,115855
1573,21647
1574,17156
1575,223257
1576,7198
1577,123157
1578,184770
1579,99437
1580,265956
1581,8797
1582,239099
1583,42406
1584,97905
1585,273847
1586,108577
1587,179415
1588,278547
1589,76678
1590,142905
1591,246193
1592,14374
1593,49909
1594,190056
1595,217644
1596,241340
1597,271094
1598,256064
1599,278604
1600,200130
1601,29252
1602,44212
1603,259760
1604,195995
1605,46983
1606,5637
1607,111933
1608,163460
1609,184663
1610,127661
1611,165925
1612,238395
1613,108067
1614,240469
1615,258162
1616,45703
1617,218734
1618,210965
1619,69574
1620,121193
1621,28125
1622,114852
1623,199285
1624,268558
1625,69929
1626,228156
1627,51057
1628,35173
1629,182769
1630,26836
1631,219087
1632,152022
1633,192475
1634,121007
1635,102922
1636,39812
1637,153920
1638,219769
1639,121031
1640,103298
1641,264011
1642,64169
1643,238760
1644,83527
1645,186853
1646,81954
1647,93315
1648,36230
1649,195765
1650,71212
1651,235765
1652,119438
1653,268512
1654,177951
1655,36779
1656,251857
1657,259996
1658,221648
1659,5425
1660,35407
1661,114675
1662,107024
1663,1097
1664,166001
1665,38153
1666,21518
1667,96409
1668,218491
1669,37874
1670,158873
1671,245249
1672,125975
1673,237156
1674,124985
1675,101272
1676,218977
1677,78889
1678,211635
1679,57851
1680,210272
1681,216295
1682,43791
1683,33159
1684,130595
1685,38258
1686,41393
1687,134053
1688,159922
1689,116410
1690,30465
1691,62247
1692,100357
1693,52032
1694,3621
1695,111649
1696,210523
1697,34901
1698,236900
1699,33405
1700,258775
1701,275613
1702,239717
1703,42683
1704,256203
1705,273980
1706,154772
1707,163613
1708,213445
1709,159349
1710,88374
1711,61949
1712,279180
1713,82642
1714,33199
1715,14806
1716,234764
1717,247024
1718,238606
1719,69263
1720,19749
1721,31221
1722,171188
1723,140511
1724,108919
1725,161404
1726,44567
1727,80768
1728,248066
1729,41593
1730,215819
1731,98907
1732,252449
1733,265165
1734,85035
1735,127632
1736,68163
1737,252919
1738,157865
1739,159948
1740,80073
1741,253830
1742,14389
1743,253461
1744,25929
1745,83085
1746,279116
1747,4584
1748,121423
1749,198642
1750,190766
1751,36901
1752,47337
1753,66458
1754,113624
1755,215872
1756,91975
1757,238238
1758,202864
1759,270369
1760,128881
1761,176568
1762,202043
1763,232151
1764,75393
1765,125960
1766,65230
1767,143028
1768,71690
1769,50034
1770,89434
1771,146319
1772,184312
1773,54621
1774,59548
1775,219976
1776,136311
1777,41964
1778,155612
1779,225834
1780,147974
1781,67551
1782,15057
1783,164736
1784,25186
1785,76310
1786,32336
1787,245448
1788,258995
1789,94433
1790,219521
1791,26853
1792,48923
1793,133627
1794,114988
1795,156591
1796,11738
1797,116140
1798,136618
1799,83345
1800,224199
1801,1631
1802,145865
1803,188438
1804,21504
1805,172735
1806,72593
1807,118875
1808,192064
1809,251233
1810,268968
1811,40431
1812,256000
1813,178836
1814,170927
1815,145668
1816,22328
1817,205427
1818,98572
1819,213118
1820,45499
1821,104512
1822,13494
1823,171402
1824,159902
1825,93491
1826,111362
1827,246884
1828,169053
1829,57284
1830,195708
1831,260926
1832,56615
1833,221496
1834,110879
1835,18379
1836,257436
1837,171529
1838,175505
1839,262994
1840,82504
1841,76860
1842,139317
1843,130023
1844,110431
1845,178404
1846,9064
1847,77666
1848,266218
1849,100047
1850,204834
1851,9538
1852,252206
1853,10395
1854,280290
1855,85770
1856,227638
1857,67290
1858,278949
1859,16504
1860,234293
1861,108982
1862,36745
1863,213046
1864,100460
1865,214467
1866,161808
1867,256832
1868,173742
1869,247697
1870,57296
1871,86375
1872,7050
1873,194009
1874,96909
1875,138491
1876,41784
1877,85600
1878,234898
1879,96298
1880,193541
1881,162672
1882,1673
1883,267118
1884,115449
1885,33737
1886,120442
1887,243547
1888,27601
1889,57112
1890,120182
1891,60023
1892,182814
1893,26164
1894,245795
1895,226884
1896,205345
1897,278628
1898,87036
1899,108088
1900,275462
1901,25258
1902,139097
1903,137738
1904,36151
1905,65352
1906,225114
1907,113257
1908,183885
1909,71979
1910,104857
1911,236573
1912,191354
1913,229846
1914,203436
1915,47104
1916,31229
1917,73704
1918,251024
1919,92772
1920,228425
1921,6195
1922,210747
1923,258662
1924,35182
1925,99448
1926,205896
1927,49154
1928,97385
1929,272943
1930,73029
1931,41748
1932,187776
1933,107341
1934,225769
1935,258194
1936,97770
1937,120732
1938,180356
1939,139290
1940,58146
1941,254449
1942,249488
1943,96164
1944,222443
1945,130204
1946,97332
1947,259642
1948,38674
1949,146192
1950,33554
1951,56405
1952,33391
1953,236606
1954,86668
1955,113629
1956,271687
1957,157738
1958,272046
1959,138688
1960,169423
1961,179512
1962,159335
1963,231777
1964,205893
1965,103796
1966,209995
1967,66064
1968,90034
1969,198256
1970,127838
1971,280588
1972,181698
1973,224192
1974,267264
1975,111247
1976,205359
1977,273719
1978,196168
1979,129975
1980,34933
1981,155150
1982,185419
1983,32619
1984,134257
1985,26907
1986,142168
1987,165622
1988,235960
1989,34071
1990,6199
1991,61623
1992,156489
1993,216381
1994,107805
1995,268057
1996,17413
1997,11775
1998,135045
1999,80985
2000,221084
2001,246343
2002,182505
2003,44586
2004,34763
2005,275377
2006,280911
2007,193650
2008,183765
2009,84553
2010,63123
2011,214361
2012,80535
2013,75027
2014,228921
2015,72715
2016,247158
2017,135113
2018,95071
2019,117993
2020,88194
2021,71810
2022,99846
2023,213128
2024,256427
2025,13659
2026,255861
2027,78616
2028,225300
2029,166826
2030,69936
2031,5838
2032,244466
2033,164994
2034,140561
2035,260812
2036,167797
2037,180088
2038,79787
2039,89738
2040,201131
2041,85355
2042,123256
2043,157809
2044,158120
2045,239313
2046,248072
2047,16781
2048,204426
2049,163823
2050,121602
2051,187967
2052,100068
2053,102843
2054,257357
2055,44512
2056,147160
2057,59691
2058,14288
2059,47168
2060,190111
2061,119661
2062,57541
2063,167495
2064,199903
2065,216932
2066,65259
2067,177876
2068,250328
2069,87216
2070,33074
2071,157966
2072,189354
2073,93403
2074,131726
2075,3495
2076,68687
2077,31231
2078,74837
2079,181364
2080,203179
2081,90585
2082,235221
2083,267871
2084,190262
2085,85321
2086,264437
2087,147978
2088,59988
2089,248745
2090,183223
2091,167828
2092,107691
2093,123493
2094,145518
2095,192896
2096,106878
2097,205486
2098,40493
2099,58784
2100,218844
2101,134428
2102,231360
2103,157092
2104,275533
2105,152592
2106,94121
2107,254929
2108,123080
2109,200684
2110,240520
2111,86607
2112,189819
2113,247481
2114,141626
2115,185448
2116,22591
2117,50570
2118,235434
2119,61924
2120,42128
2121,55079
2122,250958
2123,172381
2124,118329
2125,34732
2126,240851
2127,143043
2128,192436
2129,86657
2130,260366
2131,174239
2132,101716
2133,96372
2134,229251
2135,112706
2136,218027
2137,17253
2138,75328
2139,112181
2140,97599
2141,102233
2142,212963
2143,74851
2144,218080
2145,49668
2146,91181
2147,123305
2148,85369
2149,231255
2150,122664
2151,8977
2152,93114
2153,252863
2154,166290
2155,146653
2156,236031
2157,280008
2158,169057
2159,65344
2160,63681
2161,152406
2162,210195
2163,187315
2164,111173
2165,165215
2166,153196
2167,97000
2168,277369
2169,69600
2170,78595
2171,68983
2172,137084
2173,42805
2174,274329
2175,153974
2176,236498
2177,50902
2178,176328
2179,223531
2180,27226
2181,104614
2182,59329
2183,111156
2184,250895
2185,31967
2186,262782
2187,213810
2188,92803
2189,234085
2190,220795
2191,169131
2192,156884
2193,215207
2194,62997
2195,61593
2196,72977
2197,166943
2198,135984
2199,235118
2200,174909
2201,264327
2202,228416
2203,144531
2204,268485
2205,148129
2206,157303
2207,132897
2208,218457
2209,132776
2210,84756
2211,249013
2212,235576
2213,187298
2214,2424
2215,253286
2216,142067
2217,70325
2218,162443
2219,136220
2220,118275
2221,50214
2222,107460
2223,116184
2224,181284
2225,139318
2226,205000
2227,230947
2228,119681
2229,152427
2230,102115
2231,67146
2232,76521
2233,229919
2234,142781
2235,6782
2236,191546
2237,88927
2238,61546
2239,35004
2240,239048
2241,27896
2242,124126
2243,118294
2244,50255
2245,220100
2246,138265
2247,179630
2248,171261
2249,94200
2250,237077
2251,188848
2252,866
2253,8947
2254,175235
2255,154774
2256,72617
2257,233765
2258,33118
2259,183307
2260,127278
2261,151021
2262,243577
2263,272559
2264,58193
2265,261038
2266,276638
2267,60737
2268,279020
2269,39663
2270,102761
2271,264136
2272,113560
2273,137369
2274,162133
2275,74336
2276,118664
2277,254570
2278,92482
2279,35685
2280,128770
2281,237208
2282,78767
2283,274277
2284,87434
2285,141860
2286,109325
2287,204875
2288,164361
2289,112133
2290,90274
2291,248232
2292,238416
2293,194139
2294,11148
2295,26560
2296,229916
2297,83957
2298,118125
2299,44055
2300,56728
2301,121826
2302,269708
2303,174134
2304,4961
2305,37716
2306,94320
2307,154211
2308,46208
2309,103990
2310,210299
2311,277583
2312,248874
2313,54655
2314,204154
2315,98922
2316,117461
2317,67343
2318,204019
2319,162082
2320,10908
2321,262619
2322,179773
2323,108443
2324,10021
2325,211542
2326,243054
2327,81257
2328,136575
2329,236317
2330,221728
2331,119814
2332,7944
2333,135273
2334,276354
2335,243389
2336,268719
2337,208721
2338,60558
2339,213768
2340,209432
2341,232073
2342,270926
2343,34066
2344,121202
2345,187581
2346,114919
2347,92777
2348,274049
2349,277358
2350,26494
2351,152901
2352,176618
2353,82669
2354,35234
2355,4333
2356,207731
2357,250040
2358,222264
2359,206709
2360,216336
2361,196016
2362,140668
2363,1131
2364,171202
2365,44114
2366,274047
2367,211969
2368,232523
2369,89520
2370,65200
2371,81165
2372,159967
2373,269108
2374,183297
2375,246568
2376,76109
2377,46346
2378,27901
2379,264160
2380,10935
2381,253959
2382,88996
2383,256247
2384,205025
2385,137984
2386,258373
2387,238489
2388,183961
2389,60838
2390,212297
2391,159297
2392,48371
2393,245602
2394,62755
2395,27
2396,266188
2397,92702
2398,261348
2399,211476
2400,226773
2401,11648
2402,113266
2403,59791
2404,42948
2405,104236
2406,61513
2407,119240
2408,123196
2409,176530
2410,153117
2411,156425
2412,66842
2413,104603
2414,159525
2415,68292
2416,252711
2417,93546
2418,31955
2419,126730
2420,103902
2421,51348
2422,266067
2423,152360
2424,144894
2425,43329
2426,202760
2427,185035
2428,195652
2429,77285
2430,175713
2431,6204
2432,210199
2433,175783
2434,143912
2435,10524
2436,187476
2437,61161
2438,157568
2439,181362
2440,107548
2441,7778
2442,254294
2443,242342
2444,281741
2445,255364
2446,50614
2447,172435
2448,68320
2449,3508
2450,226240
2451,166339
2452,35386
2453,35146
2454,247230
2455,132184
2456,278239
2457,84941
2458,150010
2459,160545
2460,141557
2461,42354
2462,134781
2463,133507
2464,1955
2465,202702
2466,222151
2467,152036
2468,48721
2469,258576
2470,2145
2471,237058
2472,259240
2473,237186
2474,81373
2475,10353
2476,16327
2477,85720
2478,81076
2479,22893
2480,200770
2481,141488
2482,237832
2483,216538
2484,194876
2485,192047
2486,159935
2487,100717
2488,50621
2489,239606
2490,10479
2491,242219
2492,168759
2493,59291
2494,40010
2495,41917
2496,246309
2497,189450
2498,120781
